fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"28",0,0.81431,0.70957,0.25495,0.69722,0.33069,0.26875,12.2074,10.68148,13.27555,33.11258,293.13031,327.46362,280.45636,279.63672,276.04379,273.63895,272.82996,272.90253,-1894,-10.875,67.875
"29",0,0.81656,0.79233,0.26653,0.7218,0.32186,0.28007,12.2074,10.68148,13.27555,34.18073,309.15253,332.49918,280.4993,279.64108,276.06912,273.65891,272.84024,272.92233,-1896,-10.7916666666667,67.875
"30",0,0.6636,0.85418,0.28812,0.83011,0.29438,0.2668,12.51259,10.68148,13.12296,39.67406,322.58066,332.194,280.56906,279.64175,276.14844,273.7326,272.86514,272.96292,-1930,-10.5416666666667,67.875
"31",1,1.16613,0.34021,0.91859,0.51824,0.22907,,11.44444,10.98666,11.44444,10.98666,11.44444,137.63849,279.03143,279.19336,276.862,273.98026,,274.16754,-848,-21.0416666666667,67.7916666666667
"32",1,1.07635,0.36145,0.88712,1.07417,0.22983,,11.29185,10.98666,11.59703,11.44444,11.59703,140.69034,279.04166,279.22971,276.78342,273.99792,,274.2424,-849,-20.9583333333333,67.7916666666667
"33",0,0.98165,0.35115,0.8981,0.75947,0.21283,,11.29185,10.98666,11.59703,11.74963,11.59703,140.38515,279.0881,279.21988,276.62848,274.02969,,274.29187,-844,-20.875,67.7916666666667
"34",0,0.87562,0.35213,0.91333,0.91161,0.20902,,11.29185,10.83407,11.74963,12.05481,11.29185,140.99551,279.16071,279.16513,276.46335,274.08139,,274.31674,-822,-20.7916666666667,67.7916666666667
"35",1,0.48634,0.3452,0.60593,0.37353,0.22389,0.19097,11.59703,11.13926,12.66518,15.10666,66.07258,109.25627,279.13397,278.04926,275.21121,273.89841,273.96564,273.84647,-1060,-17.875,67.7916666666667
"36",1,0.48373,0.37065,0.69039,0.35151,0.23176,0.84904,11.44444,11.13926,12.97037,15.10666,80.41628,122.83701,279.17023,278.08615,275.19666,273.84613,273.91812,273.79321,-1073,-17.7916666666667,67.7916666666667
"37",0,0.50141,0.3653,0.67366,0.30315,0.26031,0.5899,11.59703,10.83407,13.58074,23.95703,113.37627,138.70663,279.98367,278.83658,275.28775,273.75662,273.5903,274.57867,-993,-16.125,67.7916666666667
