fid,PA,bat,mlotst_158,mlotst_157,mlotst_156,mlotst_155,mlotst_154,mlotst_153,sst_1508,sst_1507,sst_1506,sst_1505,sst_1504,sst_1503,chlor_1508,chlor_1507,chlor_1506,chlor_1505,chlor_1504,chlor_1503,Lat,Long
"31",0,-1530,12.05481,11.44444,13.42814,21.21037,95.37035,144.81033,279.79642,278.74496,275.5769,273.48346,272.96921,272.90164,0.22892,0.26505,1.79662,0.41638,0.43882,0.2296,67.875,-13.7916666666667
"32",0,-1552,12.2074,11.59703,13.42814,21.66814,97.65923,147.25182,279.81827,278.73352,275.56573,273.49905,272.9819,272.88556,0.22914,0.25248,1.89914,0.36133,0.41332,0.22423,67.875,-13.7083333333333
"33",0,-1586,12.51259,11.74963,13.42814,22.5837,100.71108,149.6933,279.83328,278.72321,275.56339,273.52335,273.01056,272.88721,0.22778,0.25021,1.97131,0.38463,0.39098,0.23747,67.875,-13.625
"34",0,-1589,12.81777,11.90222,13.58074,23.65185,100.10072,146.33626,279.84378,278.71933,275.56537,273.56256,273.04773,272.90384,0.23606,0.24323,1.86774,0.37082,0.37187,0.24367,67.875,-13.5416666666667
"35",0,-1574,13.12296,12.05481,13.73333,24.5674,97.96442,141.45329,279.85165,278.72281,275.57474,273.61121,273.08725,272.93076,0.23545,,1.92363,0.3743,0.36987,0.24613,67.875,-13.4583333333333
"36",0,-1611,13.42814,12.2074,14.03852,25.33036,95.06516,137.48589,279.86273,278.72632,275.59113,273.67105,273.12619,272.96481,0.23541,,1.70014,0.37161,0.37313,0.22339,67.875,-13.375
"37",0,-1722,13.58074,12.36,14.3437,27.31407,89.11405,129.70367,279.87897,278.73203,275.61621,273.73697,273.16232,273.00348,0.23851,,2.04868,0.42048,0.35784,0.23111,67.875,-13.2916666666667
"38",0,-1792,13.58074,12.51259,14.64889,28.83999,85.14664,122.07404,279.90198,278.74417,275.6514,273.80774,273.19525,273.04584,0.23111,,2.53222,0.43199,0.35202,0.23157,67.875,-13.2083333333333
"39",0,-1801,13.58074,12.51259,14.95407,30.36592,82.0948,114.29182,279.93161,278.75781,275.69904,273.88116,273.22534,273.08994,0.22239,,2.99679,0.44158,0.34265,0.2261,67.875,-13.125
"40",0,-1839,13.27555,13.27555,15.71703,40.74221,76.90665,96.43849,280.03677,278.83337,275.87228,274.07541,273.35242,273.23425,0.20764,0.185,1.29053,0.3612,0.27025,0.21607,67.875,-12.7916666666667
"41",0,-1836,13.27555,13.27555,15.71703,42.26814,75.22813,95.98072,280.05023,278.85324,275.89868,274.10034,273.38434,273.25253,0.21083,0.1885,1.10969,0.42781,0.2657,0.19841,67.875,-12.7083333333333
"42",0,-1834,13.27555,13.27555,15.86963,42.87851,73.7022,95.67553,280.06073,278.86685,275.91629,274.12027,273.41257,273.26059,0.21531,0.19542,1.02729,0.30391,0.25638,0.20931,67.875,-12.625
"43",0,-1835,13.27555,13.12296,15.86963,43.33628,72.17628,95.52294,280.0701,278.87744,275.93253,274.14471,273.43137,273.26599,0.20884,,0.97585,0.27688,0.25537,0.21268,67.875,-12.5416666666667
"44",0,-1836,13.27555,13.12296,16.02222,43.79406,71.41331,95.37035,280.08371,278.88467,275.94626,274.1727,273.4455,273.2731,0.20939,,0.88826,0.24266,0.24214,0.20465,67.875,-12.4583333333333
"45",0,-1838,13.27555,13.12296,16.02222,44.25184,71.26072,95.21775,280.09988,278.89014,275.95709,274.20886,273.45779,273.29031,0.21236,0.18234,0.79119,0.21684,0.22832,0.20286,67.875,-12.375
"46",0,-1839,13.42814,13.27555,16.02222,44.86221,70.95554,95.06516,280.12128,278.89081,275.96838,274.24561,273.47421,273.32001,0.2143,,0.79245,0.22234,0.21718,0.17879,67.875,-12.2916666666667
"47",0,-1839,13.58074,13.27555,16.02222,45.93036,70.80295,94.91257,280.14557,278.89661,275.98297,274.2843,273.50223,273.36423,0.20961,,0.81914,0.22233,0.21534,0.1893,67.875,-12.2083333333333
"48",0,-1840,13.73333,13.73333,16.02222,47.76147,70.95554,94.91257,280.19315,278.90356,276.0177,274.35059,273.60654,273.4838,0.2183,0.20427,0.76488,0.22702,0.22845,0.24287,67.875,-12.0416666666667
"49",0,-1843,13.88592,13.88592,16.17481,48.21925,71.10813,94.91257,280.21564,278.90729,276.0401,274.37695,273.67615,273.54868,0.24411,0.21482,0.75345,0.22429,0.2293,0.26159,67.875,-11.9583333333333
"50",0,-1846,13.88592,13.88592,16.17481,48.67702,71.56591,94.75998,280.23987,278.91797,276.06,274.4021,273.746,273.60785,0.23977,0.22666,0.72237,0.23293,0.22262,0.2592,67.875,-11.875
"51",0,-1849,14.03852,13.88592,16.3274,49.1348,72.32887,94.45479,280.26498,278.93356,276.0784,274.42825,273.81021,273.65854,0.23445,0.2232,0.71114,0.23624,0.21876,0.27035,67.875,-11.7916666666667
"52",0,-1852,14.03852,13.88592,16.48,49.74517,73.39702,94.3022,280.29346,278.95078,276.09427,274.45746,273.86096,273.69815,0.23228,0.22052,0.70152,0.23796,0.21755,0.28246,67.875,-11.7083333333333
"53",0,-1855,13.88592,13.73333,16.63259,50.50814,75.07554,93.99702,280.32434,278.97324,276.1091,274.48923,273.90063,273.72763,0.22908,0.22132,0.66161,0.23978,0.20698,0.28362,67.875,-11.625
"54",0,-1858,13.88592,13.58074,16.63259,50.96591,76.60146,93.38664,280.35712,278.99811,276.12079,274.52866,273.93423,273.75247,0.22419,0.21314,0.61962,0.23413,0.20556,0.26973,67.875,-11.5416666666667
"55",0,-1862,13.88592,13.42814,16.63259,51.88147,77.51702,92.77628,280.38947,279.02682,276.12985,274.57358,273.9642,273.7739,0.22167,0.2114,0.606,0.23173,0.20703,0.28164,67.875,-11.4583333333333
"56",0,-1866,13.88592,13.27555,16.63259,53.10221,77.8222,92.3185,280.41763,279.05859,276.13901,274.62006,274.00098,273.79715,0.22089,0.20706,0.60971,0.22922,0.20795,0.29102,67.875,-11.375
"57",0,-1873,13.88592,13.12296,16.63259,55.3911,78.12739,92.01331,280.44177,279.08853,276.14737,274.66895,274.04401,273.8252,0.21219,0.20482,0.61936,0.23264,0.20938,0.23923,67.875,-11.2916666666667
"58",0,-1884,13.88592,12.81777,16.63259,56.91702,78.89035,92.01331,280.46579,279.11771,276.16147,274.72198,274.09064,273.85562,0.21092,0.23132,0.65588,0.23491,0.21265,0.24314,67.875,-11.2083333333333
"59",0,-1895,13.88592,12.66518,16.48,59.20591,79.80591,92.62368,280.49045,279.1489,276.17493,274.77359,274.13702,273.89157,0.20945,0.21594,0.71691,0.24369,0.2183,0.2422,67.875,-11.125
"60",0,-1901,13.88592,12.81777,16.3274,61.64739,81.48442,93.84442,280.5199,279.17633,276.19559,274.82095,274.17456,273.9267,0.20913,0.20328,0.74201,0.2508,0.22301,0.24338,67.875,-11.0416666666667
"61",0,-1896,14.03852,12.81777,16.3274,62.56295,85.45183,95.98072,280.55548,279.20352,276.22211,274.86441,274.19983,273.95868,0.22693,0.20706,0.84568,0.25042,0.21905,0.25318,67.875,-10.9583333333333
