year,month,spec,la2,lo2,pods
2015,7,mn,65.137,-12.801,1
2015,7,mn,66.076,-10.8805,1
2015,7,mn,66.961,-9.17357,1
2015,7,mn,66.7959,-16.5868,1
2015,7,mn,66.5777,-18.9543,1
2015,7,mn,66.6424,-18.953,2
2015,7,mn,66.6359,-21.195,3
2015,7,mn,66.6336,-21.1952,2
2015,7,mn,66.6291,-21.1954,1
2015,7,mn,66.604,-21.198,3
2015,7,mn,66.6011,-21.1983,1
2015,7,mn,66.5348,-21.2041,1
2015,7,mn,66.4893,-21.2079,2
2015,7,mn,67.411,-23.733,1
2015,7,mn,67.4355,-23.7255,1
2015,7,mn,67.4542,-23.72,1
2015,7,mn,67.4573,-23.719,2
2015,7,mn,67.4705,-23.7149,3
2015,7,mn,67.4706,-23.7149,1
2015,7,mn,67.4999,-23.706,2
2015,7,mn,67.5049,-23.7045,2
2015,7,mn,67.5068,-23.704,3
2015,7,mn,67.533,-23.696,1
2015,7,mn,67.5688,-23.6841,1
2015,7,mn,67.5759,-23.682,2
2015,7,mn,67.5862,-23.679,3
2015,7,mn,67.6131,-23.67,2
2015,7,mn,67.6386,-23.662,3
2015,7,mn,67.6522,-23.658,2
2015,7,mn,67.6687,-23.6528,2
2015,7,mn,67.6896,-23.6461,4
2015,7,mn,67.7181,-23.636,1
2015,7,mn,67.7181,-23.636,1
2015,7,mn,67.725,-23.6338,2
2015,7,mn,67.7251,-23.6338,1
2015,7,mn,67.7251,-23.6338,2
2015,7,mn,67.731,-23.632,1
2015,7,mn,67.731,-23.632,1
2015,7,mn,67.7349,-23.6308,1
2015,7,mn,67.7513,-23.6261,1
2015,7,mn,66.384,-26.0246,1
2015,7,mn,66.1382,-26.0027,2
2015,7,mn,66.1212,-26.0006,1
2015,7,mn,66.0126,-27.2559,2
2015,7,mn,67.3681,-26.1107,1
2015,7,mn,67.3739,-26.1081,1
2015,7,mn,67.3739,-26.108,2
2015,7,mn,67.3739,-26.108,1
2015,7,mn,67.5005,-26.0364,7
2015,7,mn,67.6664,-24.2261,1
2015,7,mn,67.6397,-24.127,1
2015,7,mn,67.6397,-24.1269,5
2015,7,mn,67.6656,-24.0466,2
2015,7,mn,67.9732,-23.8558,1
