year,month,spec,la2,lo2,pods
2001,7,mn,67.551,-13.872,1
2001,7,mn,67.557,-13.853,1
2001,7,mn,67.56,-13.838,1
2001,7,mn,67.589,-13.743,4
2001,7,mn,67.596,-13.721,4
2001,7,mn,67.735,-13.249,3
2001,7,mn,67.825,-12.942,2
2001,7,mn,67.847,-12.87,1
2001,7,mn,67.862,-12.817,1
2001,7,mn,67.871,-12.784,1
2001,7,mn,67.873,-12.779,1
2001,7,mn,67.879,-12.758,9
2001,7,mn,67.895,-12.705,1
2001,7,mn,67.929,-12.589,2
2001,7,mn,67.943,-12.54,1
2001,7,mn,67.985,-12.394,1
2001,7,mn,67.999,-12.345,1
2001,7,mn,67.999,-12.345,1
2001,7,mn,67.926,-11.03,1
2001,7,mn,67.789,-20.923,4
2001,7,mn,67.781,-21.012,1
2001,7,mn,67.773,-21.027,1
2001,7,mn,67.73,-21.051,1
2001,7,mn,65.315,-27.987,4
